filename,mvt_id,trueOrInference,arousal_trend_slope,arousal_curvature,arousal_mean,arousal_std,valence_trend_slope,valence_curvature,valence_mean,valence_std,score_mvt_arousal,score_mvt_valence
Reference Work,1,True,0.92,-0.21,7.16,0.46,0.25,0.03,7.72,0.91,7.20,8.00
Reference Work,1,False,-0.51,0.07,6.96,0.51,1.85,-0.56,3.44,1.80,7.40,3.00
Beethoven5_0,1,True,1.33,-0.34,7.24,0.62,0.03,0.14,7.28,1.88,7.40,8.00
Beethoven5_0,1,False,0.18,-0.06,6.87,0.73,0.23,-0.19,4.50,2.05,7.80,3.20
Mahler6_0,1,True,0.23,-0.02,7.13,0.27,0.35,-0.05,7.93,0.41,7.80,7.80
Mahler6_0,1,False,-0.03,-0.05,6.95,0.43,1.38,-0.50,3.40,0.81,7.50,3.00
Mendelssohn5_0,1,True,-0.29,-0.06,6.64,0.82,0.01,0.04,6.96,0.81,7.10,8.00
Mendelssohn5_0,1,False,-0.05,-0.04,6.68,0.32,1.05,-0.36,4.84,1.22,7.20,4.10
Mendelssohn9_0,1,True,2.48,-0.41,6.50,1.28,1.13,-0.15,7.70,1.34,7.50,8.50
Mendelssohn9_0,1,False,1.22,-0.30,6.44,0.57,3.17,-0.76,4.04,2.29,7.00,3.80
Schubert1_0,1,True,0.76,-0.08,6.87,0.83,0.56,-0.05,8.00,0.70,7.50,8.30
Schubert1_0,1,False,0.20,-0.11,6.40,0.84,1.74,-0.42,4.20,1.54,7.10,2.90
Schubert2_0,1,True,1.59,-0.27,6.80,0.95,0.55,-0.09,8.30,0.53,7.80,8.90
Schubert2_0,1,False,0.20,-0.04,6.63,0.51,1.47,-0.24,4.53,1.82,6.50,4.90
Schubert6_0,1,True,1.32,-0.24,7.00,0.65,0.24,0.00,8.40,0.48,7.90,8.90
Schubert6_0,1,False,-1.14,0.29,6.52,0.87,3.25,-0.77,4.32,1.47,7.10,3.50
Schumann1_0,1,True,1.13,-0.25,7.25,0.71,-0.84,0.40,8.00,0.65,7.50,8.50
Schumann1_0,1,False,-0.09,0.05,6.55,1.10,5.00,-1.60,4.90,1.68,7.00,3.70
Reference Work,2,True,-0.44,0.19,3.92,0.55,-0.31,0.04,8.24,0.39,4.30,9.00
Reference Work,2,False,1.38,-0.11,5.40,1.36,0.23,-0.03,2.88,0.82,6.80,2.00
Beethoven5_0,2,True,-0.89,0.36,4.20,1.14,-0.46,0.11,8.28,0.24,4.40,9.00
Beethoven5_0,2,False,1.25,-0.17,5.88,0.89,1.21,-0.36,3.56,0.77,7.20,2.00
Mahler6_0,2,True,-0.45,0.06,5.53,0.85,-0.90,0.15,7.53,0.91,5.90,8.00
Mahler6_0,2,False,0.81,-0.17,6.12,0.35,-0.73,0.14,3.36,0.41,7.00,2.30
Mendelssohn5_0,2,True,0.47,-0.03,4.96,0.97,0.18,-0.09,8.12,0.32,5.40,8.90
Mendelssohn5_0,2,False,0.86,-0.10,6.10,0.73,1.61,-0.65,3.75,1.56,6.80,3.00
Mendelssohn9_0,2,True,1.96,-0.40,4.00,1.21,-0.69,0.25,8.25,0.26,4.90,9.00
Mendelssohn9_0,2,False,0.45,-0.05,5.85,0.48,-1.18,0.70,3.50,1.56,7.10,2.20
Schubert1_0,2,True,0.47,0.05,4.15,0.75,-0.42,0.10,8.30,0.17,3.80,8.90
Schubert1_0,2,False,3.29,-1.05,5.35,1.09,-2.42,1.10,4.20,1.70,5.90,2.20
Schubert2_0,2,True,-0.83,0.26,4.67,0.89,0.27,-0.06,8.12,0.16,6.00,9.00
Schubert2_0,2,False,0.18,-0.10,5.30,1.31,1.46,-0.50,3.60,0.73,6.60,3.00
Schubert6_0,2,True,-0.46,0.16,4.60,0.92,-0.12,0.03,8.07,0.19,5.10,8.50
Schubert6_0,2,False,0.95,-0.23,6.12,0.47,-0.53,0.17,3.40,0.88,7.10,3.10
Schumann1_0,2,True,-0.82,0.15,4.43,0.57,0.35,-0.02,8.17,0.70,5.50,8.90
Schumann1_0,2,False,0.61,-0.05,5.45,0.57,-1.21,0.65,3.55,1.07,6.80,2.10
Reference Work,3,True,-1.20,0.20,6.40,0.97,-1.17,0.45,8.05,0.50,7.60,8.80
Reference Work,3,False,-1.64,0.40,6.80,0.99,0.87,-0.15,2.45,0.57,8.00,2.00
Beethoven5_0,3,True,-1.11,0.26,5.88,0.91,0.04,0.01,7.88,0.47,7.10,8.80
Beethoven5_0,3,False,-0.89,0.16,6.76,0.71,-0.98,0.29,2.84,0.67,7.50,2.00
Mahler6_0,3,True,-2.34,0.50,6.10,1.48,-0.05,0.05,8.65,0.36,7.00,9.00
Mahler6_0,3,False,0.09,-0.05,6.35,0.09,-1.37,0.45,3.75,0.94,6.60,3.30
Mendelssohn5_0,3,True,1.28,-0.80,6.20,1.50,0.02,-0.10,8.40,0.42,7.00,9.00
Mendelssohn5_0,3,False,-1.14,0.30,6.80,0.51,-0.17,0.05,2.25,0.17,8.00,2.00
Mendelssohn9_0,3,True,-1.52,0.21,5.76,1.10,0.16,-0.01,8.52,0.37,7.40,8.90
Mendelssohn9_0,3,False,-2.55,0.44,5.72,1.60,0.33,0.07,2.76,0.91,7.60,2.00
Schubert1_0,3,True,0.86,-0.68,5.92,1.47,0.10,-0.10,8.30,0.33,7.00,9.00
