filename,mvt_id,trueOrInference,arousal_trend_slope,arousal_curvature,arousal_mean,arousal_std,valence_trend_slope,valence_curvature,valence_mean,valence_std,score_mvt_arousal,score_mvt_valence
Reference Work,1,True,-1.21,0.17,6.36,1.32,0.41,-0.17,8.04,0.53,7.90,9.00
Reference Work,1,False,-0.19,0.06,7.00,0.36,-2.13,0.37,2.72,1.15,7.40,2.00
Beethoven5_0,1,True,-0.49,0.05,6.74,0.78,-0.21,0.04,8.17,0.57,8.00,9.00
Beethoven5_0,1,False,0.01,0.01,7.13,0.60,-0.84,0.08,3.13,1.05,8.00,2.10
Mahler6_0,1,True,-0.95,0.14,6.63,0.77,0.03,0.03,8.17,0.31,8.00,9.00
Mahler6_0,1,False,-0.67,0.04,6.67,1.15,0.51,-0.18,3.20,1.75,7.70,2.70
Mendelssohn5_0,1,True,-0.81,0.16,6.92,0.64,0.09,-0.14,7.72,1.00,7.50,8.30
Mendelssohn5_0,1,False,-0.20,0.00,6.84,0.39,-1.47,0.23,2.84,0.88,8.00,2.10
Mendelssohn9_0,1,True,0.69,-0.17,6.00,1.28,0.05,0.03,8.24,0.23,7.40,8.20
Mendelssohn9_0,1,False,0.33,-0.16,7.20,0.52,-0.03,0.04,2.96,1.05,8.00,2.10
Schubert1_0,1,True,-0.31,0.00,6.23,1.12,0.09,-0.01,8.17,0.22,7.20,9.00
Schubert1_0,1,False,0.02,-0.01,6.47,0.88,0.51,-0.12,3.38,1.91,7.80,2.30
Schubert2_0,1,True,-0.40,0.04,6.54,1.06,0.06,-0.00,8.26,0.28,7.40,8.50
Schubert2_0,1,False,-0.19,0.02,7.01,0.64,0.61,-0.19,4.38,2.05,8.00,2.20
Schubert6_0,1,True,-1.24,0.20,6.28,1.55,-0.07,0.03,8.24,0.08,8.00,9.00
Schubert6_0,1,False,-0.73,0.13,7.16,0.53,-0.37,-0.07,3.40,1.64,8.00,2.10
Schumann1_0,1,True,0.43,-0.04,6.88,0.63,0.20,0.01,8.44,0.39,8.00,9.00
Schumann1_0,1,False,-0.00,0.00,7.08,0.16,-1.65,0.14,5.04,1.96,7.30,4.20
Reference Work,2,True,0.97,-0.16,4.28,0.88,-0.16,0.01,7.84,0.66,4.70,8.00
Reference Work,2,False,0.08,0.00,5.72,0.24,-0.60,0.21,2.68,0.63,6.00,2.20
Beethoven5_0,2,True,0.01,0.06,4.20,0.63,0.63,-0.11,7.80,0.83,4.90,7.80
Beethoven5_0,2,False,-1.02,0.50,5.20,0.84,1.90,-0.70,3.20,0.86,6.20,2.40
Mahler6_0,2,True,1.84,-0.41,5.08,0.80,-1.52,0.21,6.60,1.40,5.70,7.30
Mahler6_0,2,False,-0.27,0.04,6.00,0.46,-1.04,0.21,2.76,0.45,6.80,2.00
Mendelssohn5_0,2,True,-0.06,0.03,4.43,0.69,-0.06,0.02,8.10,0.15,5.80,8.70
Mendelssohn5_0,2,False,-0.43,0.08,5.03,0.67,-0.39,0.11,2.73,0.46,6.20,2.00
Mendelssohn9_0,2,True,1.08,-0.20,4.64,0.59,-0.27,0.03,7.80,0.63,5.90,8.00
Mendelssohn9_0,2,False,0.57,-0.05,5.05,1.07,1.48,-0.40,5.10,0.54,6.10,4.80
Schubert1_0,2,True,0.02,0.10,4.30,0.41,-2.82,0.90,7.50,0.91,4.60,7.90
Schubert1_0,2,False,-0.14,0.11,4.88,0.69,1.93,-0.37,3.12,1.66,6.50,2.00
Schubert2_0,2,True,0.96,-0.20,4.20,0.63,-1.23,0.24,7.20,1.21,4.60,7.70
Schubert2_0,2,False,1.73,-0.36,6.20,0.75,-0.52,0.19,3.16,1.04,6.90,2.10
Schubert6_0,2,True,0.32,-0.00,4.44,0.59,0.58,-0.11,7.44,0.61,5.30,8.00
Schubert6_0,2,False,0.67,-0.03,5.24,0.91,-1.49,0.36,3.44,0.85,6.10,2.70
Schumann1_0,2,True,0.71,-0.07,4.64,0.64,-0.98,0.30,7.76,0.61,5.40,7.90
Schumann1_0,2,False,-0.94,0.30,6.00,0.32,-0.19,0.15,3.25,0.57,6.70,2.50
Reference Work,3,True,-1.14,0.29,5.16,0.78,1.60,-0.21,7.24,1.12,5.10,6.90
Reference Work,3,False,-1.54,0.50,5.90,0.59,-1.06,0.30,2.90,0.64,6.60,2.00
Beethoven5_0,3,True,-0.37,0.17,5.40,0.57,1.29,-0.16,7.12,1.08,5.50,6.10
Beethoven5_0,3,False,-0.40,0.20,6.10,0.30,-0.35,-0.05,3.35,0.79,7.10,2.60
Mahler6_0,3,True,0.44,0.00,4.70,0.50,1.27,-0.15,7.45,0.97,5.40,7.10
Mahler6_0,3,False,-2.10,0.70,5.40,0.73,-3.69,1.65,4.25,2.22,6.90,2.80
Mendelssohn5_0,3,True,0.64,-0.01,4.68,0.91,2.21,-0.36,6.96,1.36,5.00,5.50
Mendelssohn5_0,3,False,-0.48,0.20,5.52,0.68,-0.88,0.21,3.08,0.37,6.60,2.20
Mendelssohn9_0,3,True,-0.93,0.25,5.75,0.68,-0.13,0.25,7.55,0.79,6.70,7.90
Mendelssohn9_0,3,False,0.34,-0.30,5.70,0.70,0.86,-0.50,3.50,0.88,6.70,3.00
Schubert1_0,3,True,-1.88,0.60,5.40,0.66,0.14,0.10,7.20,0.51,5.80,7.00
Schubert1_0,3,False,-0.91,0.24,5.72,0.43,-0.59,0.07,3.48,1.18,6.90,2.20
Schubert2_0,3,True,0.39,-0.07,5.16,0.76,2.51,-0.44,7.52,1.30,5.40,7.20
Schubert2_0,3,False,-0.22,0.09,6.04,0.32,-1.10,0.10,3.76,1.16,6.90,3.60
Schubert6_0,3,True,0.34,-0.09,5.28,0.20,1.63,-0.43,7.08,0.81,6.00,6.80
Schubert6_0,3,False,-0.78,0.10,6.08,0.75,0.52,-0.21,5.12,1.69,6.20,4.00
Schumann1_0,3,True,-1.41,0.26,5.47,1.01,-2.00,0.59,6.72,1.51,5.80,6.70
Schumann1_0,3,False,-0.65,0.16,6.24,0.60,2.03,-0.47,3.28,0.86,7.20,2.20
Reference Work,4,True,1.07,-0.75,6.75,1.60,-0.72,0.60,7.20,1.93,7.00,8.00
Reference Work,4,False,-0.33,0.05,7.45,0.22,1.60,-0.60,3.00,1.29,7.80,2.80
Beethoven5_0,4,True,1.18,-0.34,6.87,1.35,2.09,-0.25,7.23,1.61,7.80,8.80
Beethoven5_0,4,False,0.83,-0.26,6.88,0.60,0.81,-0.17,3.92,1.99,7.90,3.20
Mahler6_0,4,True,1.26,-0.23,7.14,1.08,-0.54,0.15,7.40,1.04,7.60,8.00
Mahler6_0,4,False,0.96,-0.24,7.26,1.29,2.11,-0.45,4.80,2.48,8.00,3.50
Mendelssohn5_0,4,True,-0.12,-0.05,6.77,0.90,0.37,0.04,7.73,1.89,7.40,8.80
Mendelssohn5_0,4,False,0.44,-0.11,7.03,0.84,-0.89,-0.01,5.23,2.27,7.80,4.40
Mendelssohn9_0,4,True,0.89,-0.25,7.35,0.36,0.55,0.05,7.65,1.11,7.60,8.00
Mendelssohn9_0,4,False,-0.81,0.13,6.52,0.82,0.04,-0.01,4.04,1.77,7.20,3.90
Schubert1_0,4,True,0.61,-0.33,6.68,1.27,-0.39,0.26,7.32,1.71,7.40,8.20
Schubert1_0,4,False,1.23,-0.36,6.87,1.36,-0.27,-0.04,3.30,1.63,8.00,2.50
Schubert2_0,4,True,-0.78,0.06,6.60,1.14,-0.62,0.17,7.50,0.70,7.20,8.00
Schubert2_0,4,False,-0.51,0.06,7.28,0.41,1.25,-0.36,3.28,1.19,7.80,3.00
Schubert6_0,4,True,-0.23,-0.02,6.83,0.64,-0.03,0.10,7.80,0.98,7.90,8.80
Schubert6_0,4,False,-0.48,0.00,6.80,0.86,-1.47,0.17,3.90,1.31,7.90,3.00
Schumann1_0,4,True,-0.33,-0.05,6.53,1.34,1.23,-0.10,6.77,1.54,7.50,8.20
Schumann1_0,4,False,-0.55,0.04,7.32,0.81,0.28,-0.19,4.32,1.84,7.70,3.00
