filename,mvt_id,trueOrInference,arousal_trend_slope,arousal_curvature,arousal_mean,arousal_std,valence_trend_slope,valence_curvature,valence_mean,valence_std,score_mvt_arousal,score_mvt_valence
Reference Work,1,True,0.41,0.15,6.35,1.06,0.18,0.10,8.20,0.73,7.00,8.40
Reference Work,1,False,0.10,0.10,5.30,0.64,-2.04,0.60,3.50,0.88,5.80,3.20
Beethoven5_0,1,True,1.24,-0.15,6.63,1.33,0.15,0.05,7.49,1.26,7.00,8.00
Beethoven5_0,1,False,0.32,-0.13,5.87,1.11,-0.44,-0.01,5.27,2.00,7.00,4.20
Mahler6_0,1,True,-0.23,0.09,6.90,0.71,0.07,0.03,8.23,0.57,7.50,8.50
Mahler6_0,1,False,-0.37,-0.15,6.15,1.24,-3.23,0.75,4.25,1.52,7.00,4.30
Mendelssohn5_0,1,True,-1.41,0.37,5.64,0.67,-1.49,0.34,7.40,0.77,6.50,7.10
Mendelssohn5_0,1,False,0.62,-0.11,5.68,1.21,-1.94,0.49,5.84,1.79,6.70,4.60
Mendelssohn9_0,1,True,1.22,-0.14,6.50,1.00,1.16,-0.19,8.30,0.74,8.00,9.00
Mendelssohn9_0,1,False,2.29,-0.37,6.08,1.31,1.86,-0.69,6.16,2.21,6.70,6.30
Schubert1_0,1,True,0.11,0.01,6.83,0.59,-0.14,0.03,8.20,0.28,8.00,9.00
Schubert1_0,1,False,-0.25,0.06,6.07,0.43,-0.14,0.01,6.47,1.45,6.70,6.30
Schubert2_0,1,True,1.57,-0.20,6.31,1.33,0.69,-0.08,8.26,0.71,7.00,8.00
Schubert2_0,1,False,-0.01,0.02,5.35,0.94,-1.26,0.12,5.22,2.04,6.30,4.00
Schubert6_0,1,True,0.44,0.01,6.48,0.86,0.82,-0.10,8.16,0.75,7.70,8.60
Schubert6_0,1,False,-0.37,0.16,6.00,0.92,-0.99,0.06,5.72,1.96,7.10,5.90
Schumann1_0,1,True,-0.21,0.17,7.04,0.90,-0.55,0.23,8.20,0.89,8.00,9.00
Schumann1_0,1,False,0.65,-0.05,6.45,0.65,1.91,-0.75,6.65,1.21,7.00,7.00
Reference Work,2,True,-0.29,0.16,4.88,0.56,2.17,-0.36,6.80,1.63,5.00,4.20
Reference Work,2,False,0.27,0.16,5.56,1.31,2.66,-0.71,4.04,1.69,5.40,2.90
Beethoven5_0,2,True,0.43,-0.04,4.80,0.70,1.79,-0.23,6.88,1.59,4.70,6.50
Beethoven5_0,2,False,-0.39,0.35,4.85,0.82,4.10,-1.30,4.60,1.59,4.80,2.60
Mahler6_0,2,True,0.04,0.00,5.16,0.62,1.06,-0.31,5.36,1.77,5.20,5.70
Mahler6_0,2,False,0.84,0.01,5.48,1.34,0.05,-0.13,3.12,0.87,6.30,3.10
Mendelssohn5_0,2,True,-0.60,0.00,4.80,0.49,3.10,-0.90,7.00,1.14,5.50,6.90
Mendelssohn5_0,2,False,-0.19,0.23,5.64,1.19,3.18,-0.89,4.56,1.78,6.50,3.00
Mendelssohn9_0,2,True,-1.64,0.60,4.10,0.70,-0.07,0.15,6.55,0.48,5.80,6.90
Mendelssohn9_0,2,False,0.38,0.10,5.36,1.45,2.28,-0.59,4.20,1.78,6.70,3.90
Schubert1_0,2,True,0.31,-0.03,4.64,0.41,0.14,0.10,7.32,0.92,4.90,6.60
Schubert1_0,2,False,0.98,-0.10,4.96,1.05,1.93,-0.56,3.72,1.29,6.00,3.10
Schubert2_0,2,True,-0.10,0.07,5.37,1.10,-0.48,0.05,6.40,1.47,6.70,3.80
Schubert2_0,2,False,0.30,0.07,5.40,1.29,1.87,-0.41,4.93,2.15,6.00,3.60
Schubert6_0,2,True,-1.01,0.17,4.76,0.73,1.27,-0.23,6.60,1.91,5.10,6.40
Schubert6_0,2,False,-0.15,0.06,5.76,0.46,3.27,-0.84,5.12,1.76,6.70,3.20
Schumann1_0,2,True,-0.56,0.19,4.64,0.64,2.44,-0.41,6.88,1.52,5.70,6.40
Schumann1_0,2,False,-1.32,0.60,4.80,0.85,1.26,-0.30,4.50,1.56,6.00,3.10
Reference Work,3,True,0.86,-0.10,6.28,1.26,-0.26,0.09,8.64,0.43,7.40,9.00
Reference Work,3,False,1.23,-0.27,6.20,0.79,-0.05,-0.04,3.04,0.73,7.60,2.80
Beethoven5_0,3,True,0.58,-0.09,6.52,0.43,0.01,0.03,7.88,0.45,7.50,8.50
Beethoven5_0,3,False,0.36,0.00,6.40,0.54,1.64,-0.39,4.00,1.56,7.10,3.70
Mahler6_0,3,True,-0.18,0.30,4.80,0.86,-0.25,0.05,7.95,0.36,5.40,8.10
Mahler6_0,3,False,1.23,-0.35,6.65,0.41,-0.42,0.10,3.80,1.09,6.90,3.30
Mendelssohn5_0,3,True,0.10,0.04,5.70,1.18,-0.25,0.08,8.33,0.36,7.00,9.00
Mendelssohn5_0,3,False,-0.96,0.40,6.30,0.57,0.43,-0.35,4.05,0.78,6.70,4.10
Mendelssohn9_0,3,True,-2.93,0.85,6.55,0.95,-1.24,0.40,8.60,0.42,8.00,9.00
Mendelssohn9_0,3,False,-1.87,0.35,6.05,0.98,-0.59,-0.25,4.75,1.87,6.70,4.40
Schubert1_0,3,True,0.34,-0.03,5.92,0.81,0.29,-0.03,8.25,0.61,7.20,9.00
Schubert1_0,3,False,1.66,-0.30,6.20,0.91,-1.47,0.35,5.25,0.59,6.70,5.00
Schubert2_0,3,True,0.01,0.01,6.37,0.86,0.01,0.01,8.37,0.64,7.30,9.00
Schubert2_0,3,False,-0.86,0.30,6.60,0.62,0.23,-0.35,3.65,1.02,7.00,3.90
Schubert6_0,3,True,-1.25,0.21,6.40,1.17,-0.32,0.08,8.33,0.32,8.00,9.00
Schubert6_0,3,False,-0.58,0.11,6.64,0.50,-2.97,0.54,4.40,1.51,7.20,4.30
Schumann1_0,3,True,-0.11,0.04,6.28,0.24,-0.83,0.24,8.04,0.67,7.10,8.70
Schumann1_0,3,False,0.39,-0.06,6.28,0.64,1.32,-0.19,4.80,1.11,6.90,4.10
Reference Work,4,True,-1.11,0.24,7.44,0.53,-0.91,0.24,8.76,0.46,8.70,9.80
Reference Work,4,False,-0.99,0.27,6.04,0.98,0.41,-0.14,2.80,0.81,7.50,1.90
Beethoven5_0,4,True,-0.12,-0.00,7.53,0.47,0.18,-0.04,8.83,0.14,8.70,9.70
Beethoven5_0,4,False,0.84,-0.19,6.40,0.83,-0.34,0.09,2.32,0.20,7.60,1.70
Mahler6_0,4,True,-0.64,0.08,7.40,0.74,-1.06,0.14,7.55,1.82,8.10,8.90
Mahler6_0,4,False,-0.15,0.04,7.24,0.69,1.52,-0.40,4.24,0.91,8.00,3.30
Mendelssohn5_0,4,True,-0.12,0.01,7.48,0.10,-0.07,0.03,8.76,0.20,8.20,9.20
Mendelssohn5_0,4,False,-1.75,0.47,6.60,0.85,-2.19,0.46,5.52,1.01,7.30,4.20
Mendelssohn9_0,4,True,0.00,0.00,5.67,0.00,0.00,0.00,7.00,0.00,5.88,7.38
Mendelssohn9_0,4,False,-0.69,0.14,7.04,0.32,1.72,-0.39,3.32,0.89,7.90,2.80
Schubert1_0,4,True,-0.81,0.14,7.37,0.65,-0.27,0.06,8.83,0.42,8.50,9.80
Schubert1_0,4,False,-0.38,0.10,7.36,0.66,-0.77,0.14,5.20,2.14,7.90,4.10
Schubert2_0,4,True,0.35,-0.07,7.56,1.02,-0.35,0.07,8.48,0.43,8.30,9.30
Schubert2_0,4,False,-0.77,0.16,7.12,0.65,0.02,-0.09,3.24,0.53,8.00,2.70
Schubert6_0,4,True,-0.57,0.09,7.23,0.36,-0.49,0.09,8.42,0.33,8.20,9.20
Schubert6_0,4,False,-0.42,0.10,7.00,0.77,-1.44,0.39,4.68,0.89,7.60,3.60
Schumann1_0,4,True,-1.26,0.20,7.03,1.05,-1.34,0.20,7.97,1.56,8.10,8.90
Schumann1_0,4,False,-0.22,0.10,7.10,0.64,1.94,-0.50,4.50,1.80,7.80,3.30
