filename,mvt_id,trueOrInference,arousal_trend_slope,arousal_curvature,arousal_mean,arousal_std,valence_trend_slope,valence_curvature,valence_mean,valence_std,score_mvt_arousal,score_mvt_valence
Reference Work,1,True,0.04,0.01,7.72,0.37,0.39,-0.07,8.96,0.39,8.20,9.70
Reference Work,1,False,-0.74,0.09,6.36,1.13,-0.47,0.04,2.72,0.60,6.80,2.10
Beethoven5_0,1,True,0.44,-0.24,6.37,2.06,2.13,-0.45,7.87,1.27,8.00,9.00
Beethoven5_0,1,False,1.54,-0.25,5.57,1.84,0.20,-0.06,2.94,0.84,7.00,2.00
Mahler6_0,1,True,0.05,-0.05,7.05,0.36,0.21,-0.05,8.25,0.26,8.00,9.00
Mahler6_0,1,False,-1.23,0.35,6.45,0.43,-2.30,0.70,3.40,0.86,7.30,3.10
Mendelssohn5_0,1,True,0.20,-0.01,7.36,0.34,0.65,-0.13,8.52,0.41,8.00,9.10
Mendelssohn5_0,1,False,-0.20,0.00,6.48,0.32,-0.59,0.07,4.44,1.35,6.70,3.60
Mendelssohn9_0,1,True,1.35,-0.26,7.07,0.71,0.39,-0.04,8.68,0.39,7.90,9.00
Mendelssohn9_0,1,False,3.20,-0.61,6.44,1.54,0.77,0.06,5.40,2.16,7.00,4.30
Schubert1_0,1,True,-0.65,0.15,7.13,0.83,0.18,-0.03,8.40,0.60,8.00,9.20
Schubert1_0,1,False,-0.38,0.04,6.40,0.66,0.42,-0.08,3.44,1.10,7.10,2.50
Schubert2_0,1,True,-0.01,0.01,7.20,0.74,0.47,-0.07,8.60,0.50,8.00,9.00
Schubert2_0,1,False,0.73,-0.07,6.08,1.19,0.83,-0.13,4.81,1.44,6.40,4.40
Schubert6_0,1,True,0.39,-0.05,7.27,0.41,0.38,-0.04,8.67,0.34,8.20,9.50
Schubert6_0,1,False,2.68,-0.60,6.32,1.48,0.80,-0.20,3.84,1.71,6.90,3.40
Schumann1_0,1,True,-0.07,0.07,7.44,0.46,0.39,-0.03,8.80,0.47,8.10,9.30
Schumann1_0,1,False,-1.77,0.34,6.24,1.24,-2.20,0.40,3.12,1.47,7.10,2.20
Reference Work,2,True,-0.35,0.04,4.04,0.59,1.07,-0.24,6.76,1.30,4.20,7.30
Reference Work,2,False,0.44,0.01,5.80,0.95,-0.78,0.11,2.88,0.68,6.90,2.10
Beethoven5_0,2,True,0.34,-0.05,4.38,0.53,-0.28,0.03,7.45,0.93,4.50,8.00
Beethoven5_0,2,False,1.20,-0.15,5.33,0.95,-3.02,0.39,4.73,2.16,6.70,4.00
Mahler6_0,2,True,0.45,-0.17,5.08,0.64,-0.44,0.21,6.60,1.45,5.40,7.10
Mahler6_0,2,False,0.10,-0.00,6.29,0.65,-0.46,0.03,4.40,1.49,6.80,3.70
Mendelssohn5_0,2,True,0.60,-0.40,4.73,0.25,1.30,-1.10,6.87,0.90,4.80,6.70
Mendelssohn5_0,2,False,4.20,-1.60,5.73,1.11,-1.80,0.60,4.20,0.57,6.10,4.00
Mendelssohn9_0,2,True,0.88,-0.20,4.30,0.41,-1.81,0.65,7.55,0.67,5.90,8.00
Mendelssohn9_0,2,False,1.56,-0.40,5.60,0.58,0.18,-0.10,3.30,0.44,6.70,2.10
Schubert1_0,2,True,-0.09,0.01,3.97,0.31,0.14,-0.03,7.67,0.57,4.00,7.50
Schubert1_0,2,False,3.43,-0.95,4.75,1.30,-1.32,0.00,4.80,2.02,5.80,4.00
Schubert2_0,2,True,1.95,-0.75,5.35,1.13,-0.83,0.35,7.35,0.43,6.00,7.80
Schubert2_0,2,False,0.55,-0.15,5.65,0.22,-0.87,0.35,4.45,0.43,6.50,3.20
Schubert6_0,2,True,-0.78,0.09,4.64,0.80,-0.71,0.26,7.12,1.48,4.40,6.60
Schubert6_0,2,False,-0.95,0.26,5.16,0.96,0.55,-0.26,5.36,1.88,5.90,4.10
Schumann1_0,2,True,0.83,-0.12,4.03,0.53,-1.27,0.28,7.27,0.85,4.00,8.10
Schumann1_0,2,False,0.18,0.10,5.60,0.55,-1.17,0.25,4.25,0.55,6.50,3.40
Reference Work,3,True,0.88,-0.20,4.90,0.46,0.34,-0.10,8.10,0.17,5.60,8.60
Reference Work,3,False,-1.67,0.35,5.65,0.98,-4.02,0.90,3.20,1.75,6.30,3.00
Beethoven5_0,3,True,2.84,-0.60,5.76,1.24,-1.21,0.34,7.52,0.96,6.70,8.10
Beethoven5_0,3,False,0.68,-0.20,5.88,0.59,1.06,-0.29,4.04,0.70,6.90,3.50
Mahler6_0,3,True,0.53,-0.05,4.95,0.52,0.01,-0.05,8.05,0.17,6.00,8.60
Mahler6_0,3,False,-0.53,0.05,6.15,0.43,-2.56,0.60,3.40,1.05,6.10,2.60
Mendelssohn5_0,3,True,1.39,-0.21,4.69,1.04,0.61,-0.09,7.74,0.79,5.90,8.00
Mendelssohn5_0,3,False,-0.54,0.10,6.30,0.30,-2.77,0.65,2.95,1.19,7.00,2.70
Mendelssohn9_0,3,True,1.01,-0.16,4.88,0.68,-0.15,0.04,8.24,0.15,5.80,8.80
Mendelssohn9_0,3,False,-2.23,0.43,5.04,1.55,0.52,-0.19,2.72,0.72,6.40,2.80
Schubert1_0,3,True,0.71,-0.15,5.07,0.43,0.58,-0.06,7.60,1.33,6.20,8.50
Schubert1_0,3,False,0.68,-0.33,6.22,0.48,2.46,-0.84,4.64,0.86,6.10,4.00
Schubert2_0,3,True,0.67,-0.07,5.12,0.65,0.04,-0.01,8.04,0.08,5.90,8.30
Schubert2_0,3,False,-0.25,-0.03,5.80,0.58,3.57,-0.93,5.68,1.59,5.40,4.80
Schubert6_0,3,True,-0.46,0.06,5.63,0.76,0.04,-0.01,8.00,0.11,6.70,8.60
Schubert6_0,3,False,-1.12,0.21,5.92,0.60,-2.27,0.44,3.24,1.20,6.70,3.20
