filename,mvt_id,trueOrInference,arousal_trend_slope,arousal_curvature,arousal_mean,arousal_std,valence_trend_slope,valence_curvature,valence_mean,valence_std,score_mvt_arousal,score_mvt_valence
Reference Work,1,True,3.81,-0.73,6.16,1.89,-1.69,0.33,6.00,1.84,7.30,5.50
Reference Work,1,False,0.20,-0.01,5.64,1.22,3.46,-0.69,7.32,1.59,6.60,7.90
Beethoven5_0,1,True,2.79,-0.42,5.90,1.65,0.45,-0.19,5.73,1.68,7.00,6.00
Beethoven5_0,1,False,1.18,-0.31,6.44,0.64,2.32,-0.40,7.12,1.30,7.30,7.70
Mahler6_0,1,True,0.90,-0.08,6.60,1.13,-0.59,0.09,6.54,1.21,7.10,6.50
Mahler6_0,1,False,-0.13,0.05,6.25,0.17,3.97,-1.05,6.95,1.42,6.20,7.50
Mendelssohn5_0,1,True,2.54,-0.37,6.10,1.50,-0.90,0.10,7.03,0.90,7.00,7.60
Mendelssohn5_0,1,False,0.52,-0.19,5.84,0.91,1.27,-0.27,7.28,0.66,6.60,7.00
Mendelssohn9_0,1,True,1.85,-0.13,5.76,2.06,-0.46,0.09,7.60,0.72,7.00,8.00
Mendelssohn9_0,1,False,0.45,-0.13,6.00,1.61,1.50,-0.31,8.00,0.75,7.20,8.10
Schubert1_0,1,True,2.34,-0.34,6.23,1.50,0.25,-0.10,6.93,1.03,7.00,7.00
Schubert1_0,1,False,0.42,-0.12,5.60,1.44,2.05,-0.32,7.53,1.23,6.50,7.70
Schubert2_0,1,True,0.38,0.00,6.67,1.08,-0.31,0.08,7.57,0.83,7.20,7.80
Schubert2_0,1,False,1.74,-0.26,6.17,1.49,1.97,-0.29,7.71,1.19,7.50,8.00
Schubert6_0,1,True,2.96,-0.42,5.80,1.86,-0.84,0.16,7.30,1.26,7.90,6.70
Schubert6_0,1,False,1.96,-0.39,6.17,1.12,2.49,-0.40,7.43,1.41,7.00,8.00
Schumann1_0,1,True,2.12,-0.40,6.50,1.14,-0.69,0.25,7.35,0.70,6.50,7.10
Schumann1_0,1,False,2.12,-0.41,6.92,0.95,2.01,-0.34,8.28,1.16,7.70,8.70
Reference Work,2,True,-0.04,0.20,4.90,0.73,-1.72,0.40,7.10,0.73,5.80,8.00
Reference Work,2,False,-1.39,0.55,5.85,0.62,5.04,-1.40,4.00,2.24,7.00,3.10
Beethoven5_0,2,True,1.21,-0.14,5.40,1.07,-0.85,0.16,7.68,0.74,6.00,7.90
Beethoven5_0,2,False,1.86,-0.30,5.70,1.17,-1.40,0.21,4.29,1.18,6.20,3.60
Mahler6_0,2,True,-0.08,0.01,5.36,0.51,-1.53,0.37,6.68,1.36,6.00,7.70
Mahler6_0,2,False,-1.87,0.43,5.60,0.90,3.32,-0.99,5.16,2.03,6.50,4.10
Mendelssohn5_0,2,True,1.26,-0.30,5.10,0.59,-2.53,0.65,7.25,1.24,5.90,8.00
Mendelssohn5_0,2,False,-1.35,0.55,5.95,0.65,0.24,-0.40,3.60,1.20,6.80,4.00
Mendelssohn9_0,2,True,0.30,0.11,5.04,1.10,-2.36,0.59,7.16,1.32,6.20,7.30
Mendelssohn9_0,2,False,-0.94,0.30,5.76,0.65,3.75,-1.06,4.80,1.93,7.00,5.30
Schubert1_0,2,True,-0.46,0.30,5.30,0.59,-1.81,0.65,7.55,0.67,5.60,7.80
