filename,mvt_id,trueOrInference,arousal_trend_slope,arousal_curvature,arousal_mean,arousal_std,valence_trend_slope,valence_curvature,valence_mean,valence_std,score_mvt_arousal,score_mvt_valence
Reference Work,1,True,0.39,-0.04,6.29,0.91,0.94,-0.09,6.77,1.45,8.00,6.90
Reference Work,1,False,2.11,-0.26,5.91,1.58,-0.28,-0.01,7.29,1.18,7.50,7.50
Beethoven5_0,1,True,0.38,-0.07,6.70,0.85,1.89,-0.22,6.30,1.85,8.00,6.60
Beethoven5_0,1,False,1.14,-0.15,6.20,1.17,-0.16,-0.04,7.14,1.36,8.00,7.00
Mahler6_0,1,True,1.96,-0.60,6.70,0.70,-2.95,1.15,6.05,1.77,7.60,6.40
Mahler6_0,1,False,2.45,-0.65,5.75,0.86,1.90,-1.10,6.80,1.96,6.10,7.20
Mendelssohn5_0,1,True,2.33,-0.53,6.76,1.06,-0.44,0.20,6.52,1.78,7.90,7.00
Mendelssohn5_0,1,False,0.67,-0.05,5.77,1.45,0.08,-0.17,6.80,1.57,7.00,8.00
Mendelssohn9_0,1,True,1.71,-0.24,6.05,1.33,1.17,-0.14,6.92,1.69,7.10,7.70
Mendelssohn9_0,1,False,1.72,-0.19,6.00,1.45,-0.89,0.14,7.48,1.05,6.60,7.30
Schubert1_0,1,True,0.80,-0.09,6.80,0.74,1.09,-0.13,7.07,1.78,7.40,7.80
Schubert1_0,1,False,2.07,-0.24,6.40,1.71,-0.75,0.05,7.20,1.12,7.20,7.20
Schubert2_0,1,True,1.71,-0.21,6.46,1.32,-0.18,0.05,6.71,1.52,7.10,7.90
Schubert2_0,1,False,3.06,-0.48,5.70,1.88,-0.66,0.06,7.17,1.40,7.70,7.30
Schubert6_0,1,True,1.19,-0.18,6.63,0.90,0.96,-0.10,6.46,1.66,7.90,7.10
Schubert6_0,1,False,0.53,0.06,5.76,1.26,0.51,-0.23,7.56,0.70,7.10,7.90
Schumann1_0,1,True,1.63,-0.25,6.57,0.99,0.61,-0.05,5.94,1.32,8.10,6.60
Schumann1_0,1,False,2.73,-0.45,5.65,1.72,2.10,-1.10,7.20,1.86,6.70,7.30
Reference Work,2,True,1.81,-0.27,5.06,1.29,0.20,-0.02,5.83,2.12,5.30,5.90
Reference Work,2,False,1.84,-0.25,5.31,1.31,-1.16,0.15,5.66,2.82,5.20,6.40
Beethoven5_0,2,True,-0.31,0.02,4.90,0.62,0.35,-0.18,6.13,1.94,5.80,5.60
Beethoven5_0,2,False,1.64,-0.25,5.31,1.11,-0.93,0.14,6.29,2.11,5.60,7.00
Mahler6_0,2,True,1.02,-0.30,5.52,0.88,1.07,-0.43,5.68,1.43,6.70,5.70
Mahler6_0,2,False,1.74,-0.49,6.44,1.06,0.49,-0.13,6.04,2.49,6.80,5.80
Mendelssohn5_0,2,True,-4.30,1.90,6.07,0.98,1.30,-0.70,4.93,0.34,6.70,4.90
Mendelssohn5_0,2,False,0.10,-0.03,6.08,1.07,-0.14,0.04,4.62,2.16,7.00,4.90
Mendelssohn9_0,2,True,-1.37,0.45,5.65,0.75,-3.64,1.20,6.90,1.73,5.90,6.90
Mendelssohn9_0,2,False,0.40,-0.06,5.53,1.35,-0.01,-0.03,6.50,1.71,6.50,6.80
Schubert1_0,2,True,-0.50,0.07,4.97,0.76,0.18,-0.12,5.77,1.67,6.00,4.10
Schubert1_0,2,False,0.39,-0.05,5.31,1.02,0.09,-0.00,6.43,1.85,6.10,7.20
Schubert2_0,2,True,0.66,-0.10,5.20,0.79,0.17,-0.06,6.11,2.15,6.30,4.60
Schubert2_0,2,False,0.58,-0.08,5.60,0.86,-1.59,0.21,5.51,2.84,6.60,6.60
Schubert6_0,2,True,-0.83,0.24,4.88,0.48,-2.68,0.60,6.68,1.65,4.90,6.50
Schubert6_0,2,False,-0.42,0.06,5.10,0.96,0.74,-0.15,6.67,1.98,5.90,7.00
Schumann1_0,2,True,-0.17,0.05,4.65,0.17,0.16,-0.20,7.60,0.62,4.60,7.70
Schumann1_0,2,False,0.28,-0.10,5.37,0.96,-0.98,0.20,6.40,2.09,6.20,6.60
Reference Work,3,True,-0.97,0.13,6.71,1.16,0.44,-0.09,7.80,0.49,7.30,8.00
Reference Work,3,False,-0.34,0.02,6.57,1.20,-0.14,0.02,3.37,0.86,8.00,3.00
Beethoven5_0,3,True,-0.11,0.04,6.92,0.20,-1.10,0.31,7.32,0.86,7.10,7.90
Beethoven5_0,3,False,2.34,-0.49,6.92,1.09,-0.53,-0.03,4.80,1.72,7.60,3.70
Mahler6_0,3,True,0.08,-0.00,7.10,0.10,-0.17,0.05,8.35,0.09,7.90,8.60
Mahler6_0,3,False,-1.38,0.70,6.10,1.24,-0.28,0.00,4.90,0.78,6.80,4.70
Mendelssohn5_0,3,True,-1.58,0.50,6.70,0.88,0.44,-0.20,7.90,0.30,7.10,8.00
Mendelssohn5_0,3,False,-0.44,0.20,7.40,0.45,-0.66,0.10,3.60,1.32,8.00,3.20
Mendelssohn9_0,3,True,-3.50,1.10,7.00,1.21,-1.80,0.60,8.40,0.60,8.10,8.90
Mendelssohn9_0,3,False,-0.79,0.11,6.71,1.09,-0.72,0.07,3.43,0.88,7.80,3.10
Schubert1_0,3,True,-0.51,0.10,6.47,1.24,0.27,-0.02,7.70,1.22,7.70,8.90
Schubert1_0,3,False,0.45,0.15,6.35,1.02,-0.58,-0.10,4.10,1.00,7.40,4.40
Schubert2_0,3,True,-1.08,0.15,6.57,1.13,-0.16,0.00,7.74,0.51,7.10,8.10
Schubert2_0,3,False,0.64,-0.20,7.40,0.24,1.10,-0.30,5.10,0.44,7.60,4.70
Schubert6_0,3,True,-1.20,0.19,6.80,1.51,-0.23,0.03,8.00,0.28,7.60,8.30
Schubert6_0,3,False,-0.02,-0.01,6.87,0.58,0.63,-0.11,4.60,1.40,7.50,4.80
Schumann1_0,3,True,0.27,-0.04,6.76,0.32,-0.38,0.11,7.56,0.45,7.40,8.00
Schumann1_0,3,False,0.51,-0.08,6.91,1.16,-0.36,0.02,3.63,1.25,7.80,3.50
Reference Work,4,True,1.22,-0.12,7.03,1.44,0.82,-0.05,7.77,1.68,8.50,8.50
Reference Work,4,False,0.51,-0.01,5.78,1.42,-1.90,0.17,3.67,2.15,8.00,3.00
Beethoven5_0,4,True,3.24,-0.60,7.36,1.57,1.39,-0.24,8.28,0.90,8.60,7.80
Beethoven5_0,4,False,-0.01,0.05,6.35,1.24,-1.68,0.15,3.53,1.94,8.00,2.80
Mahler6_0,4,True,0.39,-0.03,7.38,0.71,-0.67,0.12,6.67,2.38,8.90,7.90
Mahler6_0,4,False,0.52,-0.05,6.77,0.55,-1.72,0.12,4.40,2.35,7.80,3.70
Mendelssohn5_0,4,True,1.51,-0.23,7.28,0.98,0.45,0.04,7.60,1.33,7.00,8.00
Mendelssohn5_0,4,False,-0.32,0.09,6.03,1.22,-2.32,0.23,3.68,2.30,7.50,3.20
Mendelssohn9_0,4,True,1.30,-0.30,7.50,0.54,6.46,-1.50,7.40,2.68,7.00,8.00
Mendelssohn9_0,4,False,-0.20,0.02,6.27,1.02,-0.46,0.02,4.67,2.03,7.40,3.50
Schubert1_0,4,True,1.70,-0.30,7.40,0.95,1.71,-0.44,7.12,2.08,7.40,7.80
Schubert1_0,4,False,-0.47,0.08,6.75,0.88,-1.72,0.17,3.40,1.61,8.00,2.90
Schubert2_0,4,True,0.46,-0.04,7.34,0.68,1.69,-0.17,7.37,2.08,8.90,7.70
Schubert2_0,4,False,-0.80,0.12,6.53,1.09,-2.06,0.20,3.75,2.21,8.10,3.00
Schubert6_0,4,True,0.83,-0.26,7.00,0.54,3.03,-0.66,7.64,1.31,7.20,7.80
Schubert6_0,4,False,-0.21,0.09,6.09,1.34,-2.42,0.25,3.89,2.57,7.40,3.80
Schumann1_0,4,True,-0.41,0.25,6.85,0.65,-0.06,0.10,8.10,0.46,7.90,8.90
Schumann1_0,4,False,0.00,0.01,6.96,0.74,1.82,-0.71,7.12,2.32,7.50,4.00
